time,heartRate
11:31:39,79
11:31:44,80
11:31:59,80
11:32:04,78
11:32:19,78
11:32:24,80
11:32:39,80
11:32:44,81
11:32:49,79
11:32:59,78
11:33:09,79
11:33:24,79
11:33:30,83
11:33:45,83
11:33:55,84
11:34:00,85
11:34:05,84
11:34:10,83
11:34:20,82
11:34:35,82
11:34:40,83
11:34:45,84
11:34:50,85
11:34:55,86
11:35:00,88
11:35:05,85
11:35:10,82
11:35:15,76
11:35:20,75
11:35:30,77
11:35:35,76
11:35:40,70
11:35:45,62
11:36:00,64
11:36:05,72
11:36:10,74
11:36:15,75
11:36:20,74
11:36:25,74
11:36:35,76
11:36:40,80
11:36:50,79
11:37:05,79
11:37:20,79
11:37:25,80
11:37:30,81
11:37:35,78
11:37:45,77
11:37:55,78
11:38:00,77
11:38:05,74
11:38:10,68
11:38:15,67
11:38:20,67
11:38:25,71
11:38:30,72
11:38:35,73
11:38:40,74
11:38:55,74
11:39:10,74
11:39:15,76
11:39:20,77
11:39:25,79
11:39:30,79
11:39:35,78
11:39:40,79
11:39:55,78
11:40:00,77
11:40:05,78
11:40:10,78
11:40:25,78
11:40:30,79
11:40:35,80
11:40:45,81
11:40:55,85
11:41:00,79
11:41:05,71
11:41:10,69
11:41:15,67
11:41:20,66
11:41:30,67
11:41:35,68
11:41:40,70
11:41:45,71
11:41:50,69
11:41:55,66
11:42:00,71
11:42:10,71
11:42:20,72
11:42:25,74
11:42:30,73
11:42:35,73
11:42:45,74
11:42:50,75
11:42:55,77
11:43:00,78
11:43:05,77
11:43:10,74
11:43:15,74
11:43:20,75
11:43:25,76
11:43:35,77
11:43:40,81
11:43:45,82
11:43:50,83
11:43:55,84
11:44:00,85
11:44:10,86
11:44:15,85
11:44:20,81
11:44:25,77
11:44:30,74
11:44:35,75
11:44:40,76
11:44:45,79
11:44:50,80
11:44:55,81
11:45:00,82
11:45:05,83
11:45:10,81
11:45:25,81
11:45:40,85
11:45:45,86
11:45:55,87
11:46:05,85
11:46:20,84
11:46:25,83
11:46:40,84
11:46:45,85
11:46:50,86
11:46:55,81
11:47:00,79
11:47:15,79
11:47:20,78
11:47:25,78
11:47:40,78
11:47:45,77
11:47:50,76
11:48:00,77
11:48:05,80
11:48:10,83
11:48:15,83
11:48:25,84
11:48:30,85
11:48:35,84
11:48:45,85
11:48:50,91
11:48:55,95
11:49:00,96
11:49:15,99
11:49:20,100
11:49:25,95
11:49:30,88
11:49:35,85
11:49:45,87
11:49:50,86
11:50:00,87
11:50:05,86
11:50:15,87
11:50:25,86
11:50:35,85
11:50:45,86
11:50:55,83
11:51:00,80
11:51:05,80
11:51:10,79
11:51:20,77
11:51:30,79
11:51:35,80
11:51:40,84
11:51:45,85
11:51:50,79
11:51:55,77
11:52:00,78
11:52:05,79
11:52:10,80
11:52:15,81
11:52:20,80
11:52:25,79
11:52:30,77
11:52:35,75
11:52:50,76
11:52:55,75
11:53:05,74
11:53:10,76
11:53:15,78
11:53:25,77
11:53:35,83
11:53:40,84
11:53:45,86
11:53:55,87
11:54:00,82
11:54:05,77
11:54:20,78
11:54:30,80
11:54:35,81
11:54:40,80
11:54:45,75
11:54:50,71
11:54:55,72
11:55:00,71
